Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
130	f1	f1	F3	-	0.550992	0.550992	6.366025	4	3	3	0	0.994848	0.499502	0.995481	0.504736	0.024417	0.997815	0.002771	0.001147	0.511692	0.977514
131	f1	f1	F3	-	0.653214	0.653214	7.366025	5	2	3	0	0.499252	0.998198	0.995583	0.994931	0.495534	0.997815	0.499636	0.043512	0.986786	0.020895
132	f1	f1	F3	-	0.663207	0.663207	7.000000	6	3	1	0	0.146403	0.998198	0.995821	0.994931	0.009630	0.002433	0.499951	0.998701	0.986786	0.999217
133	f1	f1	F3	-	0.481917	0.481917	6.000000	3	3	4	0	0.997315	0.499910	0.003502	0.002188	0.494998	0.997815	0.002771	0.998701	0.302404	0.519568
134	f1	f1	F3	-	0.620983	0.620983	7.618034	4	1	5	0	0.994848	0.499910	0.786123	0.504736	0.999197	0.499914	0.531124	0.042997	0.351763	0.999217
135	f1	f1	F3	-	0.255065	0.255065	3.000000	2	7	1	0	0.996632	0.998198	0.003502	0.504570	0.002906	0.032962	0.003441	0.001138	0.006788	0.000509
136	f1	f1	F3	-	0.610058	0.610058	6.707107	5	3	2	0	0.002622	0.246366	0.996407	0.002188	0.999197	0.997815	0.499636	0.952237	0.904380	0.499737
137	f1	f1	F3	-	0.449808	0.449808	5.366025	3	4	3	0	0.499493	0.997742	0.996407	0.993130	0.002906	0.499895	0.499951	0.001138	0.006788	0.000631
138	f1	f1	F3	-	0.360799	0.360799	4.366025	2	5	3	0	0.002622	0.499622	0.003502	0.002188	0.494998	0.997267	0.002771	0.998701	0.605713	0.000609
139	f1	f1	F3	-	0.542957	0.542957	6.366025	4	3	3	0	0.002867	0.998198	0.422266	0.504570	0.999007	0.997815	0.997153	0.001122	0.006788	0.499789
140	f1	f1	F3	-	0.401239	0.401239	4.707107	3	5	2	0	0.996632	0.001734	0.003502	0.994931	0.002906	0.997815	0.002771	0.499771	0.511692	0.000641
141	f1	f1	F3	-	0.494737	0.494737	6.224745	2	2	6	0	0.641119	0.998198	0.499660	0.504736	0.002906	0.002433	0.996440	0.499771	0.303745	0.498359
142	f1	f1	F3	-	0.455925	0.455925	5.366025	3	4	3	0	0.146403	0.997757	0.421134	0.002188	0.999197	0.469079	0.002771	0.001147	0.520354	0.999217
143	f1	f1	F3	-	0.486364	0.486364	6.000000	3	3	4	0	0.850342	0.001734	0.003502	0.514008	0.009630	0.499914	0.499951	0.998351	0.986786	0.499423
144	f1	f1	F3	-	0.593320	0.593320	7.224745	3	1	6	0	0.996632	0.001734	0.499791	0.514008	0.495534	0.499738	0.996650	0.540709	0.888616	0.499789
145	f1	f1	F3	-	0.535614	0.535614	7.000000	4	2	4	0	0.996705	0.998198	0.289989	0.002453	0.999197	0.997815	0.267115	0.001138	0.303745	0.499789
146	f1	f1	F3	-	0.477010	0.477010	6.000000	3	3	4	0	0.002622	0.499616	0.499934	0.002188	0.494998	0.966397	0.002771	0.998390	0.303963	0.999217
147	f1	f1	F3	-	0.653619	0.653619	7.000000	6	3	1	0	0.146403	0.874788	0.995583	0.002188	0.999197	0.033373	0.499951	0.998701	0.986786	0.999217
148	f1	f1	F3	-	0.351193	0.351193	4.366025	2	5	3	0	0.002622	0.499616	0.422266	0.994931	0.002906	0.002136	0.499864	0.001138	0.087623	0.998831
149	f1	f1	F3	-	0.521864	0.521864	6.000000	3	3	4	0	0.002641	0.998198	0.707078	0.544379	0.495534	0.966117	0.002771	0.537265	0.007327	0.957330
150	f1	f1	F3	-	0.694754	0.694754	8.000000	5	1	4	0	0.499672	0.499570	0.003502	0.994931	0.999007	0.469141	0.996440	0.998701	0.986786	0.499789
151	f1	f1	F3	-	0.521242	0.521242	6.000000	3	3	4	0	0.499252	0.997757	0.212504	0.002188	0.494998	0.002136	0.499636	0.998701	0.986786	0.518458
152	f1	f1	F3	-	0.570885	0.570885	6.822876	2	1	7	0	0.499493	0.124014	0.499407	0.994931	0.486437	0.499914	0.499951	0.499771	0.605713	0.999217
153	f1	f1	F3	-	0.621600	0.621600	7.000000	4	2	4	0	0.997315	0.621590	0.995583	0.994931	0.002906	0.997815	0.499735	0.499771	0.605713	0.000641
154	f1	f1	F3	-	0.343372	0.343372	3.707107	2	6	2	0	0.499493	0.997750	0.996407	0.705127	0.002906	0.002132	0.002771	0.001218	0.225342	0.000577
